Date,Subject,Start Time,End Time,Location
10/7/2003,ECS 30-B,1:40:00 PM,3:00:00 PM,3 Temp
10/9/2003,ECS 30-B,1:40:00 PM,3:00:00 PM,3 Temp // Edited by Sean
12/2/2003,ECS 30-B,1:40:00 PM,3:00:00 PM,3 Temp
12/4/2003,ECS 30-B,1:40:00 PM,3:00:00 PM,3 Temp
12/13/2003,ECS 30-B Final,8:00:00 AM,10:00:00 AM,3 Temp
10/6/2003,ECS 30-C,11:00:00 AM,11:50:00 AM,3 Temp
10/8/2003,ECS 30-C,11:00:00 AM,11:50:00 AM,3 Temp // Edited by Sean
12/5/2003,ECS 30-C,11:00:00 AM,11:50:00 AM,3 Temp
12/9/2003,ECS 30-C Final,1:30:00 PM,3:30:00 PM,3 Temp
10/6/2003,ECS 30-D,1:10:00 PM,2:00:00 PM,126 Wellman
10/8/2003,ECS 30-D,1:10:00 PM,2:00:00 PM,126 Wellman // Edited by Sean
12/5/2003,ECS 30-D,1:10:00 PM,2:00:00 PM,126 Wellman
12/12/2003,ECS 30-D Final,10:30:00 AM,12:30:00 PM,26 Wellman
10/15/2003,ECS 40-A,4:10:00 PM,5:00:00 PM,66 Roessler
10/17/2003,ECS 40-A,4:10:00 PM,5:00:00 PM,66 Roessler
10/20/2003,ECS 40-A,4:10:00 PM,5:00:00 PM,66 Roessler // Edited by Sean
12/3/2003,ECS 40-A,4:10:00 PM,5:00:00 PM,66 Roessler
12/5/2003,ECS 40-A,4:10:00 PM,5:00:00 PM,66 Roessler
12/8/2003,ECS 40-A Final,4:00:00 PM,6:00:00 PM,66 Roessler
10/1/2003,Field Study 480,5:00:00 PM,7:00:00 PM,CSUS
9/26/2003,Group,9:00:00 AM,10:30:00 AM,SADVC Shelter (Davis)
9/26/2003,Group,11:00:00 AM,12:30:00 PM,SADVC (Woodland)
10/3/2003,Group,9:00:00 AM,10:30:00 AM,SADVC Shelter (Davis)
10/3/2003,Group,11:00:00 AM,12:30:00 PM,SADVC (Woodland)
9/30/2003,Group Supervision,11:00:00 AM,1:00:00 PM,SADVC (Woodland)
10/1/2003,Individual Supervision,8:00:00 AM,9:00:00 AM,SADVC (Woodland)
10/7/2003,Office Hours,3:15:00 PM,5:00:00 PM,3052 Kemper
10/9/2003,Office Hours,3:15:00 PM,5:00:00 PM,3052 Kemper
10/13/2003,Office Hours,2:15:00 PM,5:00:00 PM,3052 Kemper
10/14/2003,Office Hours,3:15:00 PM,5:00:00 PM,3052 Kemper // Edited by Sean
12/5/2003,Office Hours,2:15:00 PM,4:00:00 PM,3052 Kemper
12/8/2003,Office Hours,9:00:00 AM,12:00:00 PM,3052 Kemper
12/8/2003,Office Hours,1:00:00 PM,3:00:00 PM,3052 Kemper
12/9/2003,Office Hours,9:00:00 AM,12:00:00 PM,3052 Kemper
12/11/2003,Office Hours,1:00:00 PM,5:00:00 PM,3052 Kemper
12/12/2003,Office Hours,1:30:00 PM,5:00:00 PM,3052 Kemper
9/30/2003,Orals,2:00:00 PM,5:00:00 PM,CSUS
10/2/2003,Play Therapy,4:00:00 PM,7:00:00 PM,CSUS
9/29/2003,Practicum,4:00:00 PM,8:00:00 PM,CSUS
9/26/2003,SADVC,1:00:00 PM,6:00:00 PM,SADVC (Woodland)
10/1/2003,SADVC,12:00:00 AM,12:00:00 AM,Woodland
10/3/2003,SADVC,1:00:00 PM,6:00:00 PM,SADVC (Woodland)
